idInfoId,tc_kimlik_no,dogum_tarihi,surname,appliName,fatherName,motherName,kayit_durumu,soybis,maritalStatus,Kayitli_oldugu_il,Kayitli_oldugu_ilce,ciltNo,aileSirano,esAd,esSoyad,phone,addresNo,address,contact,appId,petId,gender
1,39675484,11/25/1969,Southerden,Jeana,Renault,Ilse,Renault Berth,,false,GEBZE,GEBZE,34,2,Libby,Berth,(751) 7554253,1,1,1,1,1,Female
2,38129114,1/25/1958,Fahrenbach,Somerset,Gilles,Charmion,Gilles MacKay,,false,GEBZE,GEBZE,1,74,Barri,MacKay,(319) 5946420,2,2,2,2,2,Male
3,38916703,11/15/1978,Krimmer,Sarena,Forster,Gabbey,Forster Meadowcroft,,true,GEBZE,GEBZE,95,54,Florina,Meadowcroft,(189) 4637811,3,3,3,3,3,Female
4,28042619,8/10/1961,Wattisham,Adria,Lucas,Marlie,Lucas Raw,,true,GEBZE,GEBZE,63,56,Trudi,Raw,(958) 4618022,4,4,4,4,4,Female
5,23717504,6/30/1975,Plumridge,Haleigh,Tommy,Iolanthe,Tommy Beange,,true,GEBZE,GEBZE,96,24,Ree,Beange,(172) 4656975,5,5,5,5,5,Female
6,13099668,6/29/1971,Cardall,Orton,Rodrique,Roze,Rodrique Algeo,,true,GEBZE,GEBZE,12,10,Grantham,Algeo,(172) 5982436,6,6,6,6,6,Male
7,53685483,4/2/1985,Klimmek,Jami,Liam,Marj,Liam Troker,,false,GEBZE,GEBZE,95,29,Gerrie,Troker,(280) 4212987,7,7,7,7,7,Female
8,33887190,11/14/1953,Emerton,Mariya,Gustavus,Ibbie,Gustavus Thuillier,,true,GEBZE,GEBZE,4,86,Brandais,Thuillier,(133) 8058319,8,8,8,8,8,Female
9,51358777,1/3/1974,Woods,Isadore,Roland,Sophi,Roland Dobie,,false,GEBZE,GEBZE,26,23,Bradford,Dobie,(830) 9403795,9,9,9,9,9,Male
10,30282733,4/7/1966,Selliman,Marjy,Jock,Abbe,Jock Escolme,,false,GEBZE,GEBZE,67,72,Josefina,Escolme,(960) 7420066,10,10,10,10,10,Female
11,29630571,4/18/1961,Balston,Joy,Zerk,Tonia,Zerk Stapleford,,true,GEBZE,GEBZE,97,73,Angeline,Stapleford,(779) 4735727,11,11,11,11,11,Female
12,4465617,5/27/1951,Frizzell,Loy,Tuckie,Laney,Tuckie Kuzma,,false,GEBZE,GEBZE,88,20,Jeremiah,Kuzma,(126) 2152035,12,12,12,12,12,Male
13,52271909,12/6/1970,Izakof,Gayle,Vernon,Bianca,Vernon Stroban,,false,GEBZE,GEBZE,23,61,Ruprecht,Stroban,(269) 9260061,13,13,13,13,13,Male
14,12358963,7/26/1981,McCuis,Ashley,Perkin,Celestyna,Perkin O'Grogane,,false,GEBZE,GEBZE,31,96,Iago,O'Grogane,(465) 9505631,14,14,14,14,14,Male
15,563073,12/7/1960,Lamcken,Velvet,Sterling,Keeley,Sterling Beaston,,true,GEBZE,GEBZE,43,24,Liuka,Beaston,(450) 5687522,15,15,15,15,15,Female
16,21614399,9/12/1953,Kittles,Sharyl,Hanson,Leonanie,Hanson Swindell,,false,GEBZE,GEBZE,9,91,Myranda,Swindell,(952) 6793996,16,16,16,16,16,Female
17,39036443,11/16/1952,Eldered,Gaby,Nigel,Sib,Nigel Alexis,,false,GEBZE,GEBZE,82,74,Wyndham,Alexis,(191) 7108159,17,17,17,17,17,Male
18,34437604,9/29/1971,Caverhill,Dana,Edwin,Evelina,Edwin Dorkin,,true,GEBZE,GEBZE,91,22,Rafe,Dorkin,(556) 4931329,18,18,18,18,18,Male
19,36730521,3/23/1992,Larwood,Karina,Gustaf,Alleen,Gustaf Pedden,,true,GEBZE,GEBZE,24,99,Amabel,Pedden,(877) 7930255,19,19,19,19,19,Female
20,51532314,3/30/1963,Gabbitus,Caleb,Tabb,Debbie,Tabb Wyatt,,false,GEBZE,GEBZE,64,20,Anatollo,Wyatt,(700) 5307074,20,20,20,20,20,Male
21,47916684,11/4/1997,Duxbarry,Tessa,Morgan,Eveleen,Morgan Jedrysik,,true,GEBZE,GEBZE,1,9,Doria,Jedrysik,(868) 2339711,21,21,21,21,21,Female
22,38456821,7/16/1971,Dibdale,Frederik,Ignacio,Othelia,Ignacio Allabush,,true,GEBZE,GEBZE,62,32,Nappy,Allabush,(409) 6964773,22,22,22,22,22,Male
23,30955610,4/9/1977,Matzaitis,Reinwald,Hebert,Mab,Hebert Moorrud,,true,GEBZE,GEBZE,96,72,Errol,Moorrud,(782) 2721131,23,23,23,23,23,Male
24,11352813,8/14/1981,Gibbs,Percy,Orlan,Melinde,Orlan Lambart,,false,GEBZE,GEBZE,54,96,Tybalt,Lambart,(912) 3349253,24,24,24,24,24,Male
25,41781175,7/15/1964,Rolles,Reinhold,Neal,Renate,Neal Whyffen,,true,GEBZE,GEBZE,60,31,Norman,Whyffen,(739) 9994647,25,25,25,25,25,Male
26,51895771,2/26/1967,Vears,Tedda,Stearne,Ertha,Stearne Moralee,,false,GEBZE,GEBZE,94,94,Andree,Moralee,(634) 5484214,26,26,26,26,26,Female
27,18160204,7/31/1964,Vigars,Ogdan,Dugald,Eileen,Dugald Da Costa,,true,GEBZE,GEBZE,70,12,Guntar,Da Costa,(149) 1318870,27,27,27,27,27,Male
28,2476487,1/31/1971,Dumblton,Merle,Chas,Otha,Chas Muttitt,,false,GEBZE,GEBZE,92,62,Ingmar,Muttitt,(968) 7401607,28,28,28,28,28,Male
29,25068723,3/19/1968,Harcourt,Inger,Horace,Aridatha,Horace Rubinfeld,,true,GEBZE,GEBZE,23,21,Claudia,Rubinfeld,(303) 8239652,29,29,29,29,29,Female
